CODUSU;NRO_HOGAR;COMPONENTE;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;RESPONDENTE;IP_III_04;IP_III_05;IP_III_06
"TQRMNOPRUHKOLOCDEFIAH00617463";1;4;2018;4;2;667;1;2;2;1
"TQRMNOPRUHKOLOCDEFIAH00617463";1;5;2018;4;2;667;1;2;2;2
"TQRMNOPRUHKOLOCDEFIAH00617463";1;6;2018;4;2;667;1;2;2;2
"TQRMNOPRVHMNKMCDEFIAH00594799";1;1;2018;4;2;830;1;2;2;2
"TQRMNOPRVHMNKMCDEFIAH00594799";1;2;2018;4;2;830;1;2;2;2
"TQRMNOPRVHMOLRCDEFIAH00594725";1;1;2018;4;2;1051;1;1;2;1
"TQRMNOPRVHMOLRCDEFIAH00594725";1;2;2018;4;2;1051;1;1;2;1
"TQRMNOPRVHMOLRCDEFIAH00594725";1;3;2018;4;2;1051;1;1;2;1
"TQRMNOPRVHMOLRCDEFIAH00594725";1;4;2018;4;2;1051;1;1;2;1
"TQRMNOPRVHMOLTCDEFIAH00594814";1;1;2018;4;2;923;2;2;2;2
"TQRMNOPRVHMOLTCDEFIAH00594814";1;2;2018;4;2;923;2;1;2;1
"TQRMNOPRVHMOLTCDEFIAH00594814";1;4;2018;4;2;923;2;2;2;1
"TQRMNOPRVHMOLTCDEFIAH00594814";1;5;2018;4;2;923;2;2;2;1
"TQRMNOPRVHMOLTCDEFIAH00594814";1;6;2018;4;2;923;2;2;2;2
"TQRMNOPRVHMOLTCDEFIAH00594814";1;7;2018;4;2;923;2;2;2;2
"TQRMNOPRVHMOLTCDEFIAH00594814";1;8;2018;4;2;923;2;2;2;2
"TQRMNOPRVHMOLTCDEFIAH00594814";1;9;2018;4;2;923;2;2;2;2
"TQRMNOPRWHMNKMCDEFIAH00594767";1;1;2018;4;2;830;1;1;1;1
"TQRMNOPRWHMNKMCDEFIAH00594767";1;2;2018;4;2;830;1;1;1;1
"TQRMNOPRWHMNKMCDEFIAH00594767";1;3;2018;4;2;830;1;1;1;1
"TQRMNOPRWHMNKMCDEFIAH00594767";1;4;2018;4;2;830;1;1;1;1
"TQRMNOPRXHMNKMCDEFIAH00594861";1;1;2018;4;2;830;2;1;1;1
"TQRMNOPRXHMNKMCDEFIAH00594861";1;2;2018;4;2;830;2;1;1;1
"TQRMNOPRXHMNKMCDEFIAH00594861";1;3;2018;4;2;830;2;1;1;1
"TQRMNOPRXHMNKMCDEFIAH00594861";1;4;2018;4;2;830;2;1;1;1
"TQRMNOPRXHMOLRCDEFIAH00594856";1;1;2018;4;2;1051;1;1;2;1
"TQRMNOPRXHMOLRCDEFIAH00594856";1;2;2018;4;2;1051;1;1;2;1
"TQRMNOPRXHMOLRCDEFIAH00594856";1;3;2018;4;2;1051;1;1;2;1
"TQRMNOPRXHMOLRCDEFIAH00594856";1;4;2018;4;2;1051;1;1;2;2
"TQRMNOPRXHMOLRCDEFIAH00594856";1;5;2018;4;2;1051;1;1;2;2
"TQRMNOPRXHMOLTCDEFIAH00600510";1;1;2018;4;2;923;1;1;2;1
"TQRMNOPRXHMOLTCDEFIAH00600510";1;2;2018;4;2;923;1;1;2;1
"TQRMNOPRXHMOLTCDEFIAH00600510";1;3;2018;4;2;923;1;1;2;1
"TQRMNOPRXHMOLTCDEFIAH00600510";1;4;2018;4;2;923;1;1;2;1
"TQRMNOPRXHMOLTCDEFIAH00600510";1;5;2018;4;2;923;1;1;2;1
"TQRMNOPRYHLOKMCDEFIAH00606270";1;1;2018;4;2;688;1;2;2;1
"TQRMNOPRYHMOLRCDEFIAH00594772";1;1;2018;4;2;1051;1;1;2;1
"TQRMNOPRYHMOLRCDEFIAH00594772";1;2;2018;4;2;1051;1;1;1;1
"TQRMNOPRYHMOLRCDEFIAH00594772";1;3;2018;4;2;1051;1;1;2;1
"TQRMNOPRYHMOLRCDEFIAH00594772";1;4;2018;4;2;1051;1;1;2;1
"TQRMNOPSPHLOKMCDEFIAH00600506";1;1;2018;4;2;688;1;2;2;1
"TQRMNOPSPHLOKMCDEFIAH00600506";1;2;2018;4;2;688;1;2;2;1
"TQRMNOPSPHMNKMCDEFIAH00594768";1;1;2018;4;2;830;1;1;2;1
"TQRMNOPSPHMNKMCDEFIAH00594768";1;2;2018;4;2;830;1;1;1;1
"TQRMNOPSPHMNKMCDEFIAH00594768";1;3;2018;4;2;830;1;1;1;1
"TQRMNOPSPHMOLRCDEFIAH00594770";1;1;2018;4;2;1051;1;2;2;1
"TQRMNOPSQHLMLOCDEFIAH00600495";1;1;2018;4;2;541;1;1;2;1
"TQRMNOPSRHLOLRCDEFIAH00600604";1;1;2018;4;2;633;1;1;1;1
"TQRMNOPSRHLOLRCDEFIAH00600604";1;2;2018;4;2;633;1;1;1;1
"TQRMNOPSRHLOLRCDEFIAH00600604";1;3;2018;4;2;633;1;1;1;1
"TQRMNOPSRHLOLRCDEFIAH00600604";1;4;2018;4;2;633;1;1;1;1
"TQRMNOPSRHLOLRCDEFIAH00600604";1;5;2018;4;2;633;1;2;2;2
"TQRMNOPSSHKMKUCDEFIAH00617398";1;1;2018;4;2;626;1;1;2;1
"TQRMNOPSSHKMKUCDEFIAH00617398";1;2;2018;4;2;626;1;2;2;1
"TQRMNOPSSHLOLRCDEFIAH00600577";1;1;2018;4;2;633;1;2;2;1
