,codigo_vivienda,nro_hogar,tiene_computadora,acceso_internet,uso_internet,uso_computadora,uso_movil
216,TQRMNOPXTHLOKRCDEIHJF00604156,1,1,1,1,1,2
217,TQRMNOPXUHLOKRCDEIHJF00604158,1,2,2,2,2,1
218,TQRMNOPXUHLOKRCDEIHJF00604158,1,2,2,2,2,1
219,TQRMNOPXUHLOKRCDEIHJF00604158,1,2,2,2,2,2
220,TQRMNOPXUHLOKRCDEIHJF00604158,1,2,2,2,2,2
221,TQRMNOPXVHLMKUCDEIHJF00604182,1,1,1,1,1,1
222,TQRMNOPXVHLOKRCDEIHJF00604155,1,1,1,1,1,1
223,TQRMNOPXVHLOKRCDEIHJF00604155,1,1,1,1,1,1
224,TQRMNOPXVHLOKRCDEIHJF00604155,1,1,1,1,1,1
225,TQRMNOPXVHLOKRCDEIHJF00604155,1,1,1,1,1,2
226,TQRMNOPXVHMOKMCDEIHJF00598480,1,1,1,1,1,1
227,TQRMNOPXVHMOKMCDEIHJF00598480,1,1,1,1,1,1
228,TQRMNOPXVHMOKMCDEIHJF00598480,1,1,1,1,1,1
229,TQRMNOPXWHLMKUCDEIHJF00604186,1,2,2,2,2,1
230,TQRMNOPXXHLMKUCDEIHJF00604185,1,1,1,1,1,1
231,TQRMNOPXXHLMKUCDEIHJF00604185,1,1,1,1,1,1
232,TQRMNOPXXHLMKUCDEIHJF00604185,1,1,1,1,1,1
233,TQRMNOPXXHLOKRCDEIHJF00604153,1,1,1,1,1,1
234,TQRMNOPXXHLOKRCDEIHJF00604153,1,1,1,1,1,1
235,TQRMNOPXXHMOKMCDEIHJF00626456,1,1,1,1,2,1
236,TQRMNOPXXHMOKMCDEIHJF00626456,1,1,1,1,2,1
237,TQRMNOPXXHMOKMCDEIHJF00626456,1,1,1,1,2,1
238,TQRMNOPXXHMOKMCDEIHJF00626456,1,1,1,1,2,1
239,TQRMNOPXYHLOKRCDEIHJF00604148,2,1,1,1,1,1
